path_id,path_str,source_root,mediator,target,path_length,path_sign,path_effect,path_effect_abs,source_group,mediator_group,target_group,source_total_effect,source_abs_path_sum,path_rank_within_source,path_share_within_source_abs,is_main_path
current_path_093,HUSS->RISK,HUSS,DIRECT,RISK,1,negative,-0.322809746806848,0.322809746806848,Climate,Direct,Target,-0.3926715940450668,0.41240174971982846,1,0.7827555218331489,True
current_path_054,HDS->RISK,HDS,DIRECT,RISK,1,negative,-0.2892125363910805,0.2892125363910805,Hydrogeology,Direct,Target,-0.2892322204747303,0.34911329658752427,1,0.8284202842402298,True
current_path_068,PR->RISK,PR,DIRECT,RISK,1,positive,0.283422642420289,0.283422642420289,Climate,Direct,Target,0.2704314152905622,0.37663556053284636,1,0.7525116375610309,True
current_path_079,TAS->RISK,TAS,DIRECT,RISK,1,positive,0.2796167685026758,0.2796167685026758,Climate,Direct,Target,0.2918316233019989,0.30453367305675194,1,0.9181801332379007,True
current_path_014,DK->RISK,DK,DIRECT,RISK,1,negative,-0.2648600569211967,0.2648600569211967,Hydrogeology,Direct,Target,-0.2774788827882801,0.2826168054307626,1,0.937170231322581,True
current_path_028,DB->RISK,DB,DIRECT,RISK,1,negative,-0.1777947864137758,0.1777947864137758,Hydrogeology,Direct,Target,-0.1498912674435789,0.20569830538397263,1,0.8643473561043202,True
current_path_113,LAI->RISK,LAI,DIRECT,RISK,1,negative,-0.1161472653514645,0.1161472653514645,Anthropogenic,Direct,Target,-0.127214467778605,0.12721446777860496,1,0.9130035866171996,True
current_path_107,PT->RISK,PT,DIRECT,RISK,1,positive,0.1059805006697404,0.1059805006697404,Anthropogenic,Direct,Target,0.1666413524150151,0.166641352415015,1,0.6359796001042967,True
current_path_109,UF->RISK,UF,DIRECT,RISK,1,positive,0.071976125727174,0.071976125727174,Anthropogenic,Direct,Target,0.089888971265643,0.08988897126564303,1,0.8007225437530889,True
current_path_120,WTD->RISK,WTD,DIRECT,RISK,1,negative,-0.0501875418084098,0.0501875418084098,Anthropogenic,Direct,Target,-0.0573506043231396,0.05735060432313952,1,0.8751004876187571,True
current_path_060,PR->LAI->RISK,PR,LAI,RISK,2,negative,-0.048482382759909716,0.048482382759909716,Climate,Anthropogenic,Target,0.2704314152905622,0.37663556053284636,2,0.12872492095892143,True
current_path_085,HUSS->LAI->RISK,HUSS,LAI,RISK,2,negative,-0.04721571879737689,0.04721571879737689,Climate,Anthropogenic,Target,-0.3926715940450668,0.41240174971982846,2,0.11448961802284695,True
current_path_110,IP->RISK,IP,DIRECT,RISK,1,positive,0.0352591678239898,0.0352591678239898,Anthropogenic,Direct,Target,0.0352591678239898,0.0352591678239898,1,1.0,True
current_path_095,PT->UF->RISK,PT,UF,RISK,2,positive,0.03298502546267065,0.03298502546267065,Anthropogenic,Anthropogenic,Target,0.1666413524150151,0.166641352415015,2,0.19794021702681874,True
current_path_046,HDS->LAI->RISK,HDS,LAI,RISK,2,positive,0.02733581863073921,0.02733581863073921,Hydrogeology,Anthropogenic,Target,-0.2892322204747303,0.34911329658752427,2,0.0783007089616422,False
current_path_056,PR->UF->RISK,PR,UF,RISK,2,positive,0.02493087192561533,0.02493087192561533,Climate,Anthropogenic,Target,0.2704314152905622,0.37663556053284636,3,0.06619362199985658,False
current_path_081,HUSS->UF->RISK,HUSS,UF,RISK,2,negative,-0.01895810417884715,0.01895810417884715,Climate,Anthropogenic,Target,-0.3926715940450668,0.41240174971982846,3,0.04596998968051574,False
current_path_108,UF->IP->RISK,UF,IP,RISK,2,positive,0.017912845538469026,0.017912845538469026,Anthropogenic,Anthropogenic,Target,0.089888971265643,0.08988897126564303,2,0.19927745624691107,False
current_path_071,TAS->LAI->RISK,TAS,LAI,RISK,2,positive,0.016950714733530107,0.016950714733530107,Climate,Anthropogenic,Target,0.2918316233019989,0.30453367305675194,2,0.05566121658530426,False
current_path_053,HDS->WTD->RISK,HDS,WTD,RISK,2,negative,-0.01304327961111325,0.01304327961111325,Hydrogeology,Anthropogenic,Target,-0.2892322204747303,0.34911329658752427,3,0.03736116538272051,False
current_path_099,PT->LAI->RISK,PT,LAI,RISK,2,positive,0.011595217615423573,0.011595217615423573,Anthropogenic,Anthropogenic,Target,0.1666413524150151,0.166641352415015,3,0.0695818741709804,False
current_path_042,HDS->UF->RISK,HDS,UF,RISK,2,negative,-0.011434233865351749,0.011434233865351749,Hydrogeology,Anthropogenic,Target,-0.2892322204747303,0.34911329658752427,4,0.032752215332724044,False
current_path_020,DB->LAI->RISK,DB,LAI,RISK,2,positive,0.01015529166227752,0.01015529166227752,Hydrogeology,Anthropogenic,Target,-0.1498912674435789,0.20569830538397263,2,0.04936983629165468,False
current_path_033,DF->LAI->RISK,DF,LAI,RISK,2,positive,0.00999961126250452,0.00999961126250452,Hydrogeology,Anthropogenic,Target,0.0128413274901641,0.018402536748936462,1,0.5433822194694125,True
current_path_112,LAI->UF->RISK,LAI,UF,RISK,2,negative,-0.008861758479690262,0.008861758479690262,Anthropogenic,Anthropogenic,Target,-0.127214467778605,0.12721446777860496,2,0.06965998942127116,False
current_path_092,HUSS->WTD->RISK,HUSS,WTD,RISK,2,positive,0.008632934425888958,0.008632934425888958,Climate,Anthropogenic,Target,-0.3926715940450668,0.41240174971982846,4,0.02093331182943301,False
current_path_006,DK->LAI->RISK,DK,LAI,RISK,2,negative,-0.008606817200677406,0.008606817200677406,Hydrogeology,Anthropogenic,Target,-0.2774788827882801,0.2826168054307626,2,0.030454017720421663,False
current_path_094,PT->UF->IP->RISK,PT,UF|IP,RISK,3,positive,0.00820905071266172,0.00820905071266172,Anthropogenic,Anthropogenic,Target,0.1666413524150151,0.166641352415015,4,0.049261786427520944,False
current_path_027,DB->WTD->RISK,DB,WTD,RISK,2,positive,0.006304753229308843,0.006304753229308843,Hydrogeology,Anthropogenic,Target,-0.1498912674435789,0.20569830538397263,3,0.030650486971878037,False
current_path_055,PR->UF->IP->RISK,PR,UF|IP,RISK,3,positive,0.006204597058136704,0.006204597058136704,Climate,Anthropogenic,Target,0.2704314152905622,0.37663556053284636,4,0.016473742015646983,False
current_path_078,TAS->WTD->RISK,TAS,WTD,RISK,2,negative,-0.005557784967071045,0.005557784967071045,Climate,Anthropogenic,Target,0.2918316233019989,0.30453367305675194,3,0.018250149191335285,False
current_path_016,DB->UF->RISK,DB,UF,RISK,2,positive,0.005447658045250538,0.005447658045250538,Hydrogeology,Anthropogenic,Target,-0.1498912674435789,0.20569830538397263,4,0.026483728366558542,False
current_path_096,PT->IP->RISK,PT,IP,RISK,2,positive,0.005002849622278193,0.005002849622278193,Anthropogenic,Anthropogenic,Target,0.1666413524150151,0.166641352415015,5,0.03002165758844032,False
current_path_057,PR->IP->RISK,PR,IP,RISK,2,positive,0.004745991101120177,0.004745991101120177,Climate,Anthropogenic,Target,0.2704314152905622,0.37663556053284636,5,0.012601017000109524,False
current_path_080,HUSS->UF->IP->RISK,HUSS,UF|IP,RISK,3,negative,-0.004718142139869059,0.004718142139869059,Climate,Anthropogenic,Target,-0.3926715940450668,0.41240174971982846,5,0.011440645300545893,False
current_path_082,HUSS->IP->RISK,HUSS,IP,RISK,2,negative,-0.004335965376274019,0.004335965376274019,Climate,Anthropogenic,Target,-0.3926715940450668,0.41240174971982846,6,0.01051393545061272,False
current_path_119,WTD->LAI->RISK,WTD,LAI,RISK,2,negative,-0.0041838460788064,0.0041838460788064,Anthropogenic,Anthropogenic,Target,-0.0573506043231396,0.05735060432313952,2,0.07295208356014349,False
current_path_040,DF->WTD->RISK,DF,WTD,RISK,2,positive,0.004086280332173245,0.004086280332173245,Hydrogeology,Anthropogenic,Target,0.0128413274901641,0.018402536748936462,2,0.2220498395368999,True
current_path_067,PR->WTD->RISK,PR,WTD,RISK,2,positive,0.0037011372315934998,0.0037011372315934998,Climate,Anthropogenic,Target,0.2704314152905622,0.37663556053284636,6,0.00982683957499208,False
current_path_059,PR->LAI->UF->RISK,PR,LAI|UF,RISK,3,negative,-0.003699089817036331,0.003699089817036331,Climate,Anthropogenic,Target,0.2704314152905622,0.37663556053284636,7,0.009821403512198986,False
current_path_084,HUSS->LAI->UF->RISK,HUSS,LAI|UF,RISK,3,negative,-0.003602446387017323,0.003602446387017323,Climate,Anthropogenic,Target,-0.3926715940450668,0.41240174971982846,7,0.008735283954213824,False
current_path_002,DK->UF->RISK,DK,UF,RISK,2,negative,-0.0035223446701527165,0.0035223446701527165,Hydrogeology,Anthropogenic,Target,-0.2774788827882801,0.2826168054307626,3,0.012463323491269327,False
current_path_041,HDS->UF->IP->RISK,HDS,UF|IP,RISK,3,negative,-0.0028456611551606415,0.0028456611551606415,Hydrogeology,Anthropogenic,Target,-0.2892322204747303,0.34911329658752427,5,0.008151110779727123,False
current_path_017,DB->IP->RISK,DB,IP,RISK,2,positive,0.0027725379999865994,0.0027725379999865994,Hydrogeology,Anthropogenic,Target,-0.1498912674435789,0.20569830538397263,5,0.01347866232933306,False
current_path_013,DK->WTD->RISK,DK,WTD,RISK,2,positive,0.0022480993048919736,0.0022480993048919736,Hydrogeology,Anthropogenic,Target,-0.2774788827882801,0.2826168054307626,4,0.007954584659130359,False
current_path_030,DF->UF->RISK,DF,UF,RISK,2,negative,-0.0022264928120137107,0.0022264928120137107,Hydrogeology,Anthropogenic,Target,0.0128413274901641,0.018402536748936462,3,0.12098836385382501,True
current_path_111,LAI->UF->IP->RISK,LAI,UF|IP,RISK,3,negative,-0.0022054439474501896,0.0022054439474501896,Anthropogenic,Anthropogenic,Target,-0.127214467778605,0.12721446777860496,3,0.017336423961529186,False
current_path_045,HDS->LAI->UF->RISK,HDS,LAI|UF,RISK,3,positive,0.002085657564275781,0.002085657564275781,Hydrogeology,Anthropogenic,Target,-0.2892322204747303,0.34911329658752427,6,0.0059741567699152275,False
current_path_115,WTD->UF->RISK,WTD,UF,RISK,2,negative,-0.001551526355421727,0.001551526355421727,Anthropogenic,Anthropogenic,Target,-0.0573506043231396,0.05735060432313952,3,0.027053356694895805,False
current_path_106,PT->WTD->RISK,PT,WTD,RISK,2,positive,0.0015435433833141732,0.0015435433833141732,Anthropogenic,Anthropogenic,Target,0.1666413524150151,0.166641352415015,6,0.009262667164810494,False
current_path_003,DK->IP->RISK,DK,IP,RISK,2,negative,-0.0013619034526518672,0.0013619034526518672,Hydrogeology,Anthropogenic,Target,-0.2774788827882801,0.2826168054307626,5,0.004818904702344445,False
