ADCODE99,NAME_EN_JX,n_points,mean_prob_2020,mean_prob_current,delta_mean,change_rate,change_rate_pct,median_prob_2020,median_prob_current,delta_median
220000,Jilin,1748,0.5975463915013804,0.6721198554142811,0.07457346391290065,0.12479945485994684,12.479945485994683,0.6270228927966623,0.766592503647997,0.13956961085133468
210000,Liaoning,1256,0.5800166609618923,0.6068059682069789,0.026789307245086547,0.046187134005184434,4.618713400518444,0.599820759470705,0.6535903372540233,0.053769577783318256
230000,Heilongjiang,4142,0.5494684167569902,0.573962900458381,0.024494483701390846,0.04457851071033235,4.457851071033235,0.4925856442373556,0.5110390113926524,0.018453367155296774
150000,Inner Mongolia,10640,0.5571050599079378,0.5803518442061083,0.02324678429817051,0.04172782832382112,4.1727828323821115,0.5163479151560961,0.5337822478891251,0.017434332733028968
640000,Ningxia,481,0.5548928219096491,0.5766568356719929,0.021764013762343826,0.03922201351865311,3.9222013518653105,0.5477295867548236,0.56657805519472,0.018848468439896404
130000,Hebei,1658,0.6101029376621716,0.6322273991769874,0.02212446151481584,0.03626348956717641,3.6263489567176412,0.6657382484661921,0.7604284440298312,0.09469019556363911
110000,Beijing,98,0.5875108165265339,0.6069683440290532,0.01945752750251928,0.033118585999072435,3.3118585999072434,0.5304535394689077,0.5434328821102443,0.0129793426413366
620000,Gansu,3826,0.5198899005295918,0.5366829000996096,0.016792999570017786,0.032301069039639745,3.2301069039639745,0.5117192763144207,0.5263319613302107,0.014612685015789939
120000,Tianjin,84,0.5714173767914706,0.5882247793345652,0.01680740254309454,0.029413530679568613,2.9413530679568614,0.6093396775340328,0.6403266645305847,0.03098698699655189
140000,Shanxi,1456,0.5313891498581979,0.5401698803366295,0.008780730478431642,0.0165241056968792,1.65241056968792,0.5673393188127964,0.5899650468976496,0.02262572808485319
420000,Hubei,1801,0.7708370954008547,0.7809490789138425,0.01011198351298781,0.013118184858149988,1.3118184858149988,0.8971132404880392,0.9319782707710015,0.034865030282962284
520000,Guizhou,1805,0.6141949754865521,0.6218797153141199,0.007684739827567788,0.01251188976510285,1.251188976510285,0.6974696353037495,0.735907098693176,0.03843746338942655
330000,Zhejiang,921,0.6762087371063308,0.6838395073456093,0.007630770239278495,0.011284637154989305,1.1284637154989305,0.7948078341014947,0.8374671396103132,0.04265930550881847
500000,Chongqing,812,0.612334908773332,0.6186223729654566,0.00628746419212467,0.010268015267527563,1.0268015267527564,0.5786427873174852,0.5956436567779164,0.017000869460431223
340000,Anhui,1325,0.6924278291224475,0.6984486055220273,0.006020776399579764,0.008695168140786932,0.8695168140786932,0.8849305214546568,0.9235169783604187,0.0385864569057619
450000,Guangxi,2492,0.5950698779034331,0.5992801612099214,0.004210283306488316,0.007075275463987699,0.7075275463987699,0.6918437556710779,0.7179561159433777,0.026112360272299795
100000,China,90153,0.5075782165464501,0.5105152431510702,0.002937026604620141,0.00578635274106836,0.578635274106836,0.5,0.5,0.0
360000,Jiangxi,1694,0.47069587444005045,0.47259936634120425,0.0019034919011537976,0.004043995294027658,0.4043995294027658,0.48143589740628256,0.47736772653338544,-0.0040681708728971255
320000,Jiangsu,838,0.5925240222028249,0.5944202449441447,0.0018962227413198418,0.003200246184568619,0.3200246184568619,0.8150539092905065,0.8605325035971981,0.045478594306691655
310000,Shanghai,25,0.9949125396825612,0.9967558977438241,0.0018433580612629008,0.0018527840264743736,0.18527840264743736,0.9965371520843918,0.9975273768433653,0.0009902247589735902
530000,Yunnan,4008,0.5412209937523244,0.5412835373851539,6.254363282953701e-05,0.00011556024905079434,0.011556024905079433,0.5422465915791459,0.5499150265915063,0.007668435012360364
630000,Qinghai,6854,0.4908000253430576,0.48944513253322036,-0.0013548928098372492,-0.002760580154595981,-0.27605801545959807,0.5,0.5,0.0
410000,Henan,1524,0.5538922464611115,0.5521627594689484,-0.0017294869921630207,-0.0031224249900823394,-0.3122424990082339,0.5332810634755852,0.541490295883396,0.008209232407810796
540000,Tibet,11902,0.4985283272683312,0.4957208650573905,-0.002807462210940692,-0.005631499871479891,-0.563149987147989,0.5,0.5,0.0
440000,Guangdong,1728,0.3888958409250559,0.38644848482965316,-0.002447356095402753,-0.006293088888740218,-0.6293088888740218,0.29519678292329193,0.2700105835594141,-0.025186199363877837
370000,Shandong,1341,0.29033480309509835,0.28451951684627613,-0.005815286248822216,-0.0200295871760074,-2.00295871760074,0.06275530051785076,0.032526390174892714,-0.03022891034295805
650000,Xinjiang,15233,0.48316837399069457,0.468662949325086,-0.014505424665608557,-0.030021469629317916,-3.0021469629317914,0.49859911126946027,0.49370938064779446,-0.004889730621665811
430000,Hunan,2148,0.31923735113226426,0.3090031877061989,-0.010234163426065368,-0.03205816421470437,-3.205816421470437,0.13989365573514828,0.10005856867675476,-0.03983508705839352
510000,Sichuan,4770,0.41734370041426044,0.4024140920699285,-0.014929608344331935,-0.035772933267023375,-3.5772933267023377,0.4820659361098522,0.4713202711823366,-0.010745664927515608
610000,Shaanxi,1971,0.36799050978227477,0.34480463478129636,-0.023185875000978406,-0.06300671996866593,-6.300671996866593,0.28297012176002323,0.23095119626023178,-0.05201892549979145
460000,Hainan,376,0.1960459181148359,0.17682595989852284,-0.01921995821631306,-0.09803804333765712,-9.803804333765711,0.19414438681663382,0.1744781090564978,-0.01966627776013602
350000,Fujian,1196,0.07743068906670858,0.061649954195029937,-0.015780734871678644,-0.20380465500033357,-20.380465500033356,0.03594390413812938,0.01993704450125228,-0.0160068596368771
