ADCODE99,NAME_EN_JX,n_points,mean_prob_2020,mean_prob_current,delta_mean,change_rate,change_rate_pct,median_prob_2020,median_prob_current,delta_median
220000,Jilin,1757,0.5973505075773856,0.6571708732564288,0.05982036567904314,0.10014282221279192,10.014282221279192,0.6271334627065718,0.7331577152590456,0.10602425255247383
230000,Heilongjiang,4152,0.5495589560622323,0.5717482431317674,0.022189287069535157,0.0403765361746237,4.03765361746237,0.4925856442373556,0.4916868126685276,-0.0008988315688280291
210000,Liaoning,1263,0.5759524754538403,0.5969317464198994,0.020979270966059116,0.03642535080611959,3.642535080611959,0.596945580990312,0.6381965100673302,0.04125092907701822
150000,Inner Mongolia,10650,0.557251193483096,0.5759128105866597,0.01866161710356362,0.03348869831380579,3.348869831380579,0.5163630605783429,0.5279071783779342,0.011544117799591302
110000,Beijing,91,0.6007947687960565,0.619823744393393,0.019028975597336517,0.0316730048024037,3.1673004802403697,0.5740389713467313,0.6027330075539818,0.02869403620725053
130000,Hebei,1667,0.6094082430729888,0.6275512828575813,0.01814303978459253,0.029771569372125377,2.9771569372125377,0.6647103473409913,0.7442956333284126,0.07958528598742132
640000,Ningxia,484,0.5549030414398622,0.5702932324589368,0.015390191019074573,0.027734919201632253,2.773491920163225,0.5478318753759818,0.5615402400601466,0.013708364684164809
120000,Tianjin,87,0.5715781007979474,0.5851472370488777,0.01356913625093037,0.02373977630001443,2.373977630001443,0.6100795165074671,0.6347871856657575,0.02470766915829048
620000,Gansu,3828,0.5199574824685087,0.5303834576189066,0.010425975150397893,0.020051591720346755,2.0051591720346753,0.5117283963178034,0.5194612634948161,0.007732867177012714
140000,Shanxi,1457,0.5316142870468861,0.5392718148755389,0.00765752782865281,0.014404292764948678,1.4404292764948678,0.5673749746816155,0.5878253887170001,0.020450414035384612
420000,Hubei,1808,0.7706695391811876,0.7792176651115149,0.008548125930327277,0.011091817563477848,1.1091817563477848,0.8967581211341809,0.9261167663605321,0.029358645226351232
520000,Guizhou,1807,0.6141712483008023,0.6194849672757149,0.005313718974912618,0.008651852377677766,0.8651852377677766,0.6974696353037495,0.7243667225304797,0.026897087226730232
330000,Zhejiang,946,0.6822923563159417,0.687868742016308,0.0055763857003663375,0.008173015055417301,0.8173015055417301,0.8037024841929996,0.8341566060984703,0.0304541219054707
500000,Chongqing,815,0.6126089318491758,0.6174574743176798,0.00484854246850408,0.007914580112093094,0.7914580112093095,0.5792195357361283,0.5918135041761183,0.012593968439990055
340000,Anhui,1337,0.6932145055264363,0.6982024421640415,0.004987936637605217,0.007195372569154928,0.7195372569154929,0.8849305214546568,0.9154437634416258,0.03051324198696903
450000,Guangxi,2495,0.5952488320638996,0.5985533151737035,0.003304483109803913,0.005551431488485775,0.5551431488485775,0.6919999434085768,0.7127740836885155,0.020774140279938624
100000,China,90396,0.5078125374466806,0.5105109512365719,0.0026984137898912186,0.0053137990713247145,0.5313799071324714,0.5,0.5,0.0
360000,Jiangxi,1697,0.4703986170394241,0.4717361070513437,0.0013374900119196287,0.0028433119560118385,0.28433119560118386,0.47981055022931385,0.4765908915629495,-0.0032196586663643667
320000,Jiangsu,881,0.6034124914518662,0.6048321526261046,0.001419661174238418,0.002352720890518163,0.23527208905181632,0.8396849173176599,0.8748470164327643,0.03516209911510437
310000,Shanghai,27,0.9948313848416803,0.9964895599294505,0.0016581750877702195,0.001666790084265491,0.16667900842654912,0.9965371520843918,0.9975273768433653,0.0009902247589735902
530000,Yunnan,4015,0.5411121766855761,0.5412124518678255,0.00010027518224942078,0.00018531311356478243,0.018531311356478244,0.5422356296624189,0.5466824228799758,0.004446793217556921
630000,Qinghai,6854,0.4908000253430576,0.49005649678246455,-0.0007435285605930653,-0.001514931789323679,-0.1514931789323679,0.5,0.5,0.0
410000,Henan,1539,0.554455709378315,0.5530566821001501,-0.0013990272781648772,-0.0025232444260219456,-0.25232444260219455,0.5334995006685881,0.5407746063751201,0.0072751057065320035
540000,Tibet,11904,0.4985282787244525,0.49703797394562715,-0.0014903047788253354,-0.0029894087104516283,-0.2989408710451628,0.5,0.5,0.0
440000,Guangdong,1730,0.38880792167598344,0.38697619781259673,-0.0018317238633867028,-0.004711127940734671,-0.47111279407346707,0.296986247907949,0.2785986877737715,-0.018387560134177472
370000,Shandong,1387,0.2920047215143034,0.2868376829591186,-0.0051670385551848,-0.017695051396392235,-1.7695051396392234,0.06294434065293518,0.03596834045838044,-0.02697600019455474
510000,Sichuan,4777,0.41749087982040983,0.40848186867018943,-0.009009011150220403,-0.02157894120728043,-2.157894120728043,0.48204040760276873,0.4767443686522788,-0.005296038950489912
650000,Xinjiang,15235,0.483196346226841,0.47179351443994927,-0.01140283178689172,-0.02359875416263714,-2.359875416263714,0.49859911126946027,0.4957000312176583,-0.00289908005180195
430000,Hunan,2153,0.3198631346146382,0.31188807827737947,-0.007975056337258757,-0.024932714884029608,-2.4932714884029608,0.14011399629507118,0.10905650351087783,-0.031057492784193355
610000,Shaanxi,1976,0.3679883544954392,0.34998367079964127,-0.01800468369579794,-0.04892731923673168,-4.892731923673168,0.2830657118090517,0.24416092875238138,-0.03890478305667033
460000,Hainan,377,0.19605982672439515,0.18378957824685493,-0.012270248477540213,-0.06258420545677991,-6.258420545677991,0.19414525690096984,0.1818738205660806,-0.012271436334889252
350000,Fujian,1200,0.0773416253146696,0.06573103512680735,-0.011610590187862244,-0.15012084554240718,-15.012084554240717,0.03594390413812938,0.023903478722408687,-0.012040425415720694
