run_id,seed,cv_repeat,cv_fold,probability_bin_center,observed_frequency,mean_predicted_probability,bin_count
0,2026,0,0,0.05,0.00963275135460566,0.013968113180209081,1661
0,2026,0,0,0.15000000000000002,0.09523809523809523,0.14812652584739086,252
0,2026,0,0,0.25,0.20108695652173914,0.24786873427883588,184
0,2026,0,0,0.35000000000000003,0.30625,0.35252390398212363,160
0,2026,0,0,0.45,0.3812154696132597,0.4471328897824397,181
0,2026,0,0,0.55,0.544973544973545,0.5510219013065194,189
0,2026,0,0,0.6500000000000001,0.6666666666666666,0.6519679486561897,210
0,2026,0,0,0.75,0.813953488372093,0.7532633194573889,258
0,2026,0,0,0.8500000000000001,0.9057971014492754,0.8552615548073134,414
0,2026,0,0,0.95,0.9772431729518856,0.9770982671667057,1538
1,2027,0,1,0.05,0.008155583437892095,0.01357961536982338,1594
1,2027,0,1,0.15000000000000002,0.07003891050583658,0.14858486061874857,257
1,2027,0,1,0.25,0.13846153846153847,0.24621735018066165,195
1,2027,0,1,0.35000000000000003,0.2934131736526946,0.34581145793162704,167
1,2027,0,1,0.45,0.3954802259887006,0.4471081125184288,177
1,2027,0,1,0.55,0.49732620320855614,0.5523403406360314,187
1,2027,0,1,0.6500000000000001,0.6435185185185185,0.6536994922219409,216
1,2027,0,1,0.75,0.7777777777777778,0.7503987810685299,261
1,2027,0,1,0.8500000000000001,0.8997289972899729,0.8551402756273739,369
1,2027,0,1,0.95,0.9741379310344828,0.9791463795586131,1624
2,2028,0,2,0.05,0.015494636471990465,0.01485597862694438,1678
2,2028,0,2,0.15000000000000002,0.104,0.14558380197107043,250
2,2028,0,2,0.25,0.16201117318435754,0.24933091473637906,179
2,2028,0,2,0.35000000000000003,0.25,0.3486576661496462,148
2,2028,0,2,0.45,0.4067796610169492,0.4538196773836453,177
2,2028,0,2,0.55,0.4782608695652174,0.5498293402051206,184
2,2028,0,2,0.6500000000000001,0.6377551020408163,0.6538278072875499,196
2,2028,0,2,0.75,0.8120300751879699,0.752148784362432,266
2,2028,0,2,0.8500000000000001,0.904639175257732,0.8537503789606281,388
2,2028,0,2,0.95,0.9841872232764073,0.9791315746649454,1581
3,2029,0,3,0.05,0.008004926108374385,0.013231639117148244,1624
3,2029,0,3,0.15000000000000002,0.10112359550561797,0.14917903202476146,267
3,2029,0,3,0.25,0.15675675675675677,0.24468217180577737,185
3,2029,0,3,0.35000000000000003,0.25555555555555554,0.35003582158075736,180
3,2029,0,3,0.45,0.34946236559139787,0.45248512022818904,186
3,2029,0,3,0.55,0.519774011299435,0.5487933750312544,177
3,2029,0,3,0.6500000000000001,0.7242990654205608,0.6535877257133966,214
3,2029,0,3,0.75,0.8275862068965517,0.7511309885819293,261
3,2029,0,3,0.8500000000000001,0.9045226130653267,0.8550104092966828,398
3,2029,0,3,0.95,0.9787781350482315,0.9746504407940274,1555
4,2030,0,4,0.05,0.0074673304293715,0.014407787402702411,1607
4,2030,0,4,0.15000000000000002,0.06274509803921569,0.1471079384025255,255
4,2030,0,4,0.25,0.1990521327014218,0.24608658389545768,211
4,2030,0,4,0.35000000000000003,0.2784090909090909,0.3508218633257024,176
4,2030,0,4,0.45,0.41317365269461076,0.4465524429088377,167
4,2030,0,4,0.55,0.478494623655914,0.5490048918869868,186
4,2030,0,4,0.6500000000000001,0.6590909090909091,0.6504746294187198,220
4,2030,0,4,0.75,0.7881040892193308,0.7525683963453799,269
4,2030,0,4,0.8500000000000001,0.9137931034482759,0.8551419037492486,406
4,2030,0,4,0.95,0.9812782440284055,0.9774074545441838,1549
5,2031,1,0,0.05,0.011438892233594221,0.013669451788928652,1661
5,2031,1,0,0.15000000000000002,0.10040160642570281,0.14546932993156977,249
5,2031,1,0,0.25,0.17297297297297298,0.24961524935441226,185
5,2031,1,0,0.35000000000000003,0.3227848101265823,0.351809626584861,158
5,2031,1,0,0.45,0.3392857142857143,0.4531455590433624,168
5,2031,1,0,0.55,0.5297297297297298,0.5508970912798646,185
5,2031,1,0,0.6500000000000001,0.6709401709401709,0.651455814973102,234
5,2031,1,0,0.75,0.803030303030303,0.7513683985639789,264
5,2031,1,0,0.8500000000000001,0.9020501138952164,0.8551160893503178,439
5,2031,1,0,0.95,0.9833776595744681,0.9787725705706565,1504
6,2032,1,1,0.05,0.007926829268292683,0.013553065003210171,1640
6,2032,1,1,0.15000000000000002,0.1115702479338843,0.14614593210661858,242
6,2032,1,1,0.25,0.14207650273224043,0.2500166048209109,183
6,2032,1,1,0.35000000000000003,0.20100502512562815,0.3499055048595627,199
6,2032,1,1,0.45,0.4090909090909091,0.4497874824580618,176
6,2032,1,1,0.55,0.5786516853932584,0.5509858532877646,178
6,2032,1,1,0.6500000000000001,0.6807511737089202,0.6545843478959381,213
6,2032,1,1,0.75,0.7907801418439716,0.752463579362298,282
6,2032,1,1,0.8500000000000001,0.9326683291770573,0.8559376460253416,401
6,2032,1,1,0.95,0.9804305283757339,0.9769427618935658,1533
7,2033,1,2,0.05,0.012995049504950494,0.015130846834572017,1616
7,2033,1,2,0.15000000000000002,0.1,0.14721801498932124,280
7,2033,1,2,0.25,0.19889502762430938,0.24916025640757106,181
7,2033,1,2,0.35000000000000003,0.22727272727272727,0.35111469098922293,176
7,2033,1,2,0.45,0.391812865497076,0.4527527908794926,171
7,2033,1,2,0.55,0.5172413793103449,0.5517413392619632,174
7,2033,1,2,0.6500000000000001,0.656,0.6504897294822926,250
7,2033,1,2,0.75,0.7661290322580645,0.7505842410695669,248
7,2033,1,2,0.8500000000000001,0.9298701298701298,0.852297814883942,385
7,2033,1,2,0.95,0.9782886334610472,0.9776229237902839,1566
8,2034,1,3,0.05,0.010216346153846154,0.013762270629059407,1664
8,2034,1,3,0.15000000000000002,0.10852713178294573,0.1462595794968672,258
8,2034,1,3,0.25,0.17032967032967034,0.25015948044868,182
8,2034,1,3,0.35000000000000003,0.26174496644295303,0.3491944763939947,149
8,2034,1,3,0.45,0.3626373626373626,0.4501689248770686,182
8,2034,1,3,0.55,0.5163043478260869,0.5494156318690476,184
8,2034,1,3,0.6500000000000001,0.6807511737089202,0.6532138448462452,213
8,2034,1,3,0.75,0.7854251012145749,0.7545827091157568,247
8,2034,1,3,0.8500000000000001,0.9164420485175202,0.8557961068285689,371
8,2034,1,3,0.95,0.9830932999373826,0.9780405023268592,1597
9,2035,1,4,0.05,0.007532956685499058,0.014360792079387726,1593
9,2035,1,4,0.15000000000000002,0.05371900826446281,0.14738450105720455,242
9,2035,1,4,0.25,0.13170731707317074,0.24747902297543042,205
9,2035,1,4,0.35000000000000003,0.22981366459627328,0.3482489657962066,161
9,2035,1,4,0.45,0.44886363636363635,0.450445982454629,176
9,2035,1,4,0.55,0.47305389221556887,0.5489067462126497,167
9,2035,1,4,0.6500000000000001,0.5784313725490197,0.6454051788137071,204
9,2035,1,4,0.75,0.7879858657243817,0.7509780738859262,283
9,2035,1,4,0.8500000000000001,0.9007633587786259,0.8568085556770684,393
9,2035,1,4,0.95,0.9759556103575833,0.9770402334319753,1622
10,2036,2,0,0.05,0.008318478906714201,0.014982204760117957,1683
10,2036,2,0,0.15000000000000002,0.10869565217391304,0.14451584112014698,276
10,2036,2,0,0.25,0.21978021978021978,0.24980826432505887,182
10,2036,2,0,0.35000000000000003,0.31137724550898205,0.34783091722316023,167
10,2036,2,0,0.45,0.40397350993377484,0.4496956304547581,151
10,2036,2,0,0.55,0.5380434782608695,0.5501343737246686,184
10,2036,2,0,0.6500000000000001,0.6807511737089202,0.650132190908117,213
10,2036,2,0,0.75,0.8395061728395061,0.7534974399842321,243
10,2036,2,0,0.8500000000000001,0.9166666666666666,0.8535078323799471,384
10,2036,2,0,0.95,0.9776214833759591,0.9797186804429721,1564
11,2037,2,1,0.05,0.01378070701018574,0.013634243581179206,1669
11,2037,2,1,0.15000000000000002,0.07916666666666666,0.15022177538449785,240
11,2037,2,1,0.25,0.1834319526627219,0.2498288931213086,169
11,2037,2,1,0.35000000000000003,0.19230769230769232,0.3508351645828686,156
11,2037,2,1,0.45,0.39204545454545453,0.44847856408698566,176
11,2037,2,1,0.55,0.49514563106796117,0.5513684342209567,206
11,2037,2,1,0.6500000000000001,0.6458333333333334,0.6485708951800127,192
11,2037,2,1,0.75,0.8084291187739464,0.753346745506876,261
11,2037,2,1,0.8500000000000001,0.9328703703703703,0.8545173848402586,432
11,2037,2,1,0.95,0.9793014230271668,0.9777668689427652,1546
12,2038,2,2,0.05,0.005642633228840125,0.01353330814757884,1595
12,2038,2,2,0.15000000000000002,0.078125,0.14229257977716087,256
12,2038,2,2,0.25,0.16591928251121077,0.24817173771542295,223
12,2038,2,2,0.35000000000000003,0.28,0.35358558503251974,175
12,2038,2,2,0.45,0.3989071038251366,0.45007762610585417,183
12,2038,2,2,0.55,0.5340314136125655,0.5492799198416399,191
12,2038,2,2,0.6500000000000001,0.680161943319838,0.6501986871750967,247
12,2038,2,2,0.75,0.8446215139442231,0.7545070729246063,251
12,2038,2,2,0.8500000000000001,0.9070904645476773,0.8575189941647077,409
12,2038,2,2,0.95,0.978905735003296,0.9765106866867519,1517
13,2039,2,3,0.05,0.008155583437892095,0.013773234856116569,1594
13,2039,2,3,0.15000000000000002,0.06976744186046512,0.1502061299564521,258
13,2039,2,3,0.25,0.16477272727272727,0.24483712184608128,176
13,2039,2,3,0.35000000000000003,0.19607843137254902,0.35144019630285417,153
13,2039,2,3,0.45,0.391025641025641,0.45148227374650507,156
13,2039,2,3,0.55,0.5114942528735632,0.5499026114702101,174
13,2039,2,3,0.6500000000000001,0.579185520361991,0.6448254404295992,221
13,2039,2,3,0.75,0.7839721254355401,0.7540218668168824,287
13,2039,2,3,0.8500000000000001,0.8715083798882681,0.8546068311001759,358
13,2039,2,3,0.95,0.9700598802395209,0.9773308798463561,1670
14,2040,2,4,0.05,0.013100436681222707,0.013586072896001925,1603
14,2040,2,4,0.15000000000000002,0.10150375939849623,0.14656713975934146,266
14,2040,2,4,0.25,0.1346153846153846,0.24792626755451627,208
14,2040,2,4,0.35000000000000003,0.2430939226519337,0.35274366333424345,181
14,2040,2,4,0.45,0.3812154696132597,0.4497636336986689,181
14,2040,2,4,0.55,0.5511363636363636,0.5498836548454948,176
14,2040,2,4,0.6500000000000001,0.6801801801801802,0.6564678565424501,222
14,2040,2,4,0.75,0.775438596491228,0.7491912736168906,285
14,2040,2,4,0.8500000000000001,0.9143576826196473,0.8546901214686935,397
14,2040,2,4,0.95,0.9849377865094957,0.9781782000263873,1527
15,2041,3,0,0.05,0.01315002988643156,0.014291855325156392,1673
15,2041,3,0,0.15000000000000002,0.08658008658008658,0.14420981687516737,231
15,2041,3,0,0.25,0.18009478672985782,0.24729413295686004,211
15,2041,3,0,0.35000000000000003,0.3028169014084507,0.3573071069967151,142
15,2041,3,0,0.45,0.3548387096774194,0.4504323987595417,186
15,2041,3,0,0.55,0.5403726708074534,0.5500283828200518,161
15,2041,3,0,0.6500000000000001,0.7023255813953488,0.6516178174858671,215
15,2041,3,0,0.75,0.7873754152823921,0.7505723136637941,301
15,2041,3,0,0.8500000000000001,0.9093078758949881,0.8534667575107102,419
15,2041,3,0,0.95,0.9820954907161804,0.9777755990121387,1508
16,2042,3,1,0.05,0.011793916821849782,0.014598977724091135,1611
16,2042,3,1,0.15000000000000002,0.07662835249042145,0.14655566108827928,261
16,2042,3,1,0.25,0.2,0.24480036366710464,200
16,2042,3,1,0.35000000000000003,0.23972602739726026,0.34824569315972065,146
16,2042,3,1,0.45,0.33146067415730335,0.4508266441346374,178
16,2042,3,1,0.55,0.4788732394366197,0.5502232624393925,213
16,2042,3,1,0.6500000000000001,0.6263157894736842,0.6525198347608328,190
16,2042,3,1,0.75,0.8181818181818182,0.7549141300977484,275
16,2042,3,1,0.8500000000000001,0.9203084832904884,0.8548761259202429,389
16,2042,3,1,0.95,0.9779040404040404,0.9777315692014017,1584
17,2043,3,2,0.05,0.010240963855421687,0.01443539076635723,1660
17,2043,3,2,0.15000000000000002,0.08264462809917356,0.14753062294505456,242
17,2043,3,2,0.25,0.14450867052023122,0.24864939352111667,173
17,2043,3,2,0.35000000000000003,0.24064171122994651,0.35241728373908326,187
17,2043,3,2,0.45,0.3873239436619718,0.45345067788115545,142
17,2043,3,2,0.55,0.5421052631578948,0.5547096081882988,190
17,2043,3,2,0.6500000000000001,0.6575342465753424,0.6480331901199694,219
17,2043,3,2,0.75,0.7848101265822784,0.7505884188404349,237
17,2043,3,2,0.8500000000000001,0.9414893617021277,0.8559788131223413,376
17,2043,3,2,0.95,0.9728562615669339,0.9764428988952468,1621
18,2044,3,3,0.05,0.008573178199632579,0.01490113017275821,1633
18,2044,3,3,0.15000000000000002,0.07604562737642585,0.14911425056894181,263
18,2044,3,3,0.25,0.2358974358974359,0.24824374589567683,195
18,2044,3,3,0.35000000000000003,0.296969696969697,0.3505768235763806,165
18,2044,3,3,0.45,0.39655172413793105,0.45125407197487644,174
18,2044,3,3,0.55,0.538860103626943,0.5455339585881115,193
18,2044,3,3,0.6500000000000001,0.6761904761904762,0.652899677458219,210
18,2044,3,3,0.75,0.7640845070422535,0.7496337371333758,284
18,2044,3,3,0.8500000000000001,0.9207161125319693,0.8550976729633609,391
18,2044,3,3,0.95,0.9772579597141,0.9782877210870471,1539
19,2045,3,4,0.05,0.008793969849246231,0.013008483569709068,1592
19,2045,3,4,0.15000000000000002,0.08888888888888889,0.14760128446881315,270
19,2045,3,4,0.25,0.16243654822335024,0.24931532251495503,197
19,2045,3,4,0.35000000000000003,0.23121387283236994,0.34910314595799496,173
19,2045,3,4,0.45,0.384180790960452,0.44742033099881473,177
19,2045,3,4,0.55,0.5076923076923077,0.5512728069352671,195
19,2045,3,4,0.6500000000000001,0.6745283018867925,0.6521042433868094,212
19,2045,3,4,0.75,0.7470355731225297,0.7543931936025023,253
19,2045,3,4,0.8500000000000001,0.9129353233830846,0.8550241111518786,402
19,2045,3,4,0.95,0.9834920634920635,0.9774832702824687,1575
20,2046,4,0,0.05,0.009673518742442563,0.01391558991950405,1654
20,2046,4,0,0.15000000000000002,0.07526881720430108,0.14820207720901846,279
20,2046,4,0,0.25,0.193717277486911,0.2488803275757934,191
20,2046,4,0,0.35000000000000003,0.23684210526315788,0.35001738996386145,152
20,2046,4,0,0.45,0.43478260869565216,0.44956708872352,184
20,2046,4,0,0.55,0.5433526011560693,0.55075117662294,173
20,2046,4,0,0.6500000000000001,0.7023255813953488,0.6508209831792371,215
20,2046,4,0,0.75,0.8114035087719298,0.7513777700510436,228
20,2046,4,0,0.8500000000000001,0.9223057644110275,0.8522349876751504,399
20,2046,4,0,0.95,0.9783715012722646,0.9776506571101784,1572
21,2047,4,1,0.05,0.009230769230769232,0.014808972814642435,1625
21,2047,4,1,0.15000000000000002,0.1013215859030837,0.1484563652288577,227
21,2047,4,1,0.25,0.1958762886597938,0.24911489555450764,194
21,2047,4,1,0.35000000000000003,0.25595238095238093,0.3527227805580941,168
21,2047,4,1,0.45,0.4012345679012346,0.4449853423198226,162
