bin_left,bin_right,bin_center,sample_count,normalized_density,class_id,class_label
0.07187923204583685,0.08016004961702954,0.0760196408314332,1,0.000244140625,1,Lowest
0.08016004961702954,0.08844086718822222,0.08430045840262587,2,0.00048828125,1,Lowest
0.08844086718822222,0.0967216847594149,0.09258127597381856,2,0.00048828125,1,Lowest
0.0967216847594149,0.10500250233060758,0.10086209354501124,4,0.0009765625,1,Lowest
0.10500250233060758,0.11328331990180027,0.10914291111620392,6,0.00146484375,1,Lowest
0.11328331990180027,0.12156413747299294,0.1174237286873966,8,0.001953125,1,Lowest
0.12156413747299294,0.12984495504418564,0.1257045462585893,13,0.003173828125,1,Lowest
0.12984495504418564,0.1381257726153783,0.133985363829782,23,0.005615234375,1,Lowest
0.1381257726153783,0.14640659018657098,0.14226618140097463,26,0.00634765625,1,Lowest
0.14640659018657098,0.15468740775776368,0.15054699897216733,32,0.0078125,1,Lowest
0.15468740775776368,0.16296822532895636,0.15882781654336003,58,0.01416015625,1,Lowest
0.16296822532895636,0.17124904290014903,0.16710863411455268,67,0.016357421875,1,Lowest
0.17124904290014903,0.17952986047134173,0.17538945168574538,87,0.021240234375,1,Lowest
0.17952986047134173,0.1878106780425344,0.18367026925693808,141,0.034423828125,1,Lowest
0.1878106780425344,0.19609149561372707,0.19195108682813072,207,0.050537109375,1,Lowest
0.19609149561372707,0.20437231318491977,0.20023190439932342,327,0.079833984375,1,Lowest
0.20437231318491977,0.21265313075611245,0.20851272197051612,776,0.189453125,1,Lowest
0.21265313075611245,0.22093394832730515,0.2167935395417088,4096,1.0,1,Lowest
0.22093394832730515,0.22921476589849782,0.22507435711290147,908,0.2216796875,1,Lowest
0.22921476589849782,0.23749558346969052,0.23335517468409417,598,0.14599609375,1,Lowest
0.23749558346969052,0.2457764010408832,0.24163599225528687,413,0.100830078125,1,Lowest
0.2457764010408832,0.25405721861207586,0.2499168098264795,352,0.0859375,1,Lowest
0.25405721861207586,0.26233803618326856,0.2581976273976722,328,0.080078125,1,Lowest
0.26233803618326856,0.27061885375446126,0.2664784449688649,274,0.06689453125,2,Low
0.27061885375446126,0.2788996713256539,0.27475926254005756,220,0.0537109375,2,Low
0.2788996713256539,0.2871804888968466,0.28304008011125026,228,0.0556640625,2,Low
