false_positive_rate,true_positive_rate_mean,true_positive_rate_p05,true_positive_rate_p95
0.0,0.0,0.0,0.0
0.004016064257028112,0.24043393219413098,0.1583806564341292,0.40494853523357077
0.008032128514056224,0.481061029801575,0.39010712155552907,0.5552178431591264
0.012048192771084336,0.5871173900276441,0.522722848497539,0.6445647016465949
0.01606425702811245,0.6519119712326098,0.606879244579582,0.6895694461012366
0.020080321285140562,0.699386403482329,0.6559009593401317,0.7322920195634021
0.024096385542168672,0.732000449482604,0.6874198838107775,0.7611556721937254
0.028112449799196783,0.7563342235672592,0.7160876728459269,0.784183129986295
0.0321285140562249,0.7758088794847108,0.7412604495575333,0.8001200632564569
0.03614457831325301,0.7931307947719476,0.7601615488080589,0.8138046246744698
0.040160642570281124,0.8081707277022714,0.7799598683217777,0.8298503476367154
0.04417670682730923,0.8210789301359044,0.7937230489339749,0.8408290326786163
0.048192771084337345,0.8329531682888123,0.8074574697746797,0.8520538209846511
0.05220883534136546,0.8436969413541534,0.8229541711919525,0.8606047644904146
0.056224899598393566,0.8527062721928165,0.833693195868538,0.8700729175885278
0.06024096385542168,0.8617626783918123,0.844407051313837,0.8769476029987168
0.0642570281124498,0.8694727495386401,0.85265241009978,0.8816278574313088
0.0682730923694779,0.8761152695970549,0.8583192969899399,0.8887646762587142
0.07228915662650602,0.8819410769369133,0.866568054395801,0.8937321961111774
0.07630522088353413,0.8874844543272338,0.8730254918689362,0.8988437157927509
0.08032128514056225,0.8934214206111047,0.8787551491920506,0.904859517277029
0.08433734939759036,0.8986789287479247,0.8842143682370412,0.9110125297880216
0.08835341365461846,0.9033263289850663,0.8861100907070278,0.9152489388423144
0.09236947791164658,0.9076929538303996,0.8911884110054825,0.9199530796453139
0.09638554216867469,0.9120874377896293,0.898709548667141,0.9240263905980215
0.1004016064257028,0.9162766534269545,0.9051522063261472,0.928666701644265
0.10441767068273092,0.9200180797912527,0.9093946383906627,0.9319423934852633
0.10843373493975902,0.923763770910635,0.9134057020159847,0.9358963998795209
0.11244979919678713,0.9272494627972957,0.917586772171193,0.9401842704889782
0.11646586345381525,0.9304595730820202,0.9217573632016208,0.9421575686838801
0.12048192771084336,0.9334299236708107,0.9247334444903151,0.9437290739118842
0.12449799196787148,0.9361616399263296,0.9273642159396663,0.9456787606986666
0.1285140562248996,0.9391116086286287,0.9300577865449501,0.9487589566185534
0.1325301204819277,0.9417560169448345,0.9327179118392622,0.9512373851843015
0.1365461847389558,0.9443626523017863,0.9354406731682813,0.9536883067338299
