class_id,class_label,lower_probability,upper_probability,sample_count,sample_percent
1,Lowest,0.07187923204583685,0.2605378133080302,8409,33.326727964489535
2,Low,0.2605378133080302,0.3649038549170669,2258,8.948953709575143
3,Middle,0.3649038549170669,0.4928459020990599,1850,7.331959416613825
4,High,0.4928459020990599,0.6312823951004014,2489,9.864457831325302
5,Highest,0.6312823951004014,0.850276083737949,10226,40.5279010779962
